Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8914077186774301,0.8725826898970541,0.5945273631840796,0.22589792060491493,0.3273972602739726,0.32045322078873445
Decision Tree,0.8993696782041358,0.8534301673861554,0.5846681922196796,0.4829867674858223,0.5289855072463768,0.475931578352274
K-Nearest Neighbor,0.8922923808470641,0.8089241642825099,0.5716723549488054,0.3166351606805293,0.4075425790754258,0.372370015504988
Naive Bayes,0.837996240185779,0.8127459567975399,0.35536602700781805,0.4725897920604915,0.4056795131845842,0.3183441908562959
Random Forest,0.906668141103616,0.9247496783311809,0.6573529411764706,0.4224952741020794,0.5143843498273878,0.47938663237334733
